t1,t2,t3,alert_volume,monitor_size,attacks_in_NORMAL,attacks_in_MONITOR
0.4,0.55,0.7,79978,110,318,7
0.4,0.55,0.75,79978,110,318,7
0.4,0.55,0.8,79978,110,318,7
0.4,0.55,0.85,79978,110,318,7
0.4,0.55,0.9,79978,110,318,7
0.4,0.6,0.7,79936,152,318,8
0.4,0.6,0.75,79936,152,318,8
0.4,0.6,0.8,79936,152,318,8
0.4,0.6,0.85,79936,152,318,8
0.4,0.6,0.9,79936,152,318,8
0.4,0.65,0.7,79936,152,318,8
0.4,0.65,0.75,79936,152,318,8
0.4,0.65,0.8,79936,152,318,8
0.4,0.65,0.85,79936,152,318,8
0.4,0.65,0.9,79936,152,318,8
0.4,0.7,0.75,79936,152,318,8
0.4,0.7,0.8,79936,152,318,8
0.4,0.7,0.85,79936,152,318,8
0.4,0.7,0.9,79936,152,318,8
0.4,0.75,0.8,79409,679,318,114
0.4,0.75,0.85,79409,679,318,114
0.4,0.75,0.9,79409,679,318,114
0.45,0.55,0.7,79978,73,319,6
0.45,0.55,0.75,79978,73,319,6
0.45,0.55,0.8,79978,73,319,6
0.45,0.55,0.85,79978,73,319,6
0.45,0.55,0.9,79978,73,319,6
0.45,0.6,0.7,79936,115,319,7
0.45,0.6,0.75,79936,115,319,7
0.45,0.6,0.8,79936,115,319,7
0.45,0.6,0.85,79936,115,319,7
0.45,0.6,0.9,79936,115,319,7
0.45,0.65,0.7,79936,115,319,7
0.45,0.65,0.75,79936,115,319,7
0.45,0.65,0.8,79936,115,319,7
0.45,0.65,0.85,79936,115,319,7
0.45,0.65,0.9,79936,115,319,7
0.45,0.7,0.75,79936,115,319,7
0.45,0.7,0.8,79936,115,319,7
0.45,0.7,0.85,79936,115,319,7
0.45,0.7,0.9,79936,115,319,7
0.45,0.75,0.8,79409,642,319,113
0.45,0.75,0.85,79409,642,319,113
0.45,0.75,0.9,79409,642,319,113
0.5,0.55,0.7,79978,13,325,0
0.5,0.55,0.75,79978,13,325,0
0.5,0.55,0.8,79978,13,325,0
0.5,0.55,0.85,79978,13,325,0
0.5,0.55,0.9,79978,13,325,0
0.5,0.6,0.7,79936,55,325,1
0.5,0.6,0.75,79936,55,325,1
0.5,0.6,0.8,79936,55,325,1
0.5,0.6,0.85,79936,55,325,1
0.5,0.6,0.9,79936,55,325,1
0.5,0.65,0.7,79936,55,325,1
0.5,0.65,0.75,79936,55,325,1
0.5,0.65,0.8,79936,55,325,1
0.5,0.65,0.85,79936,55,325,1
0.5,0.65,0.9,79936,55,325,1
0.5,0.7,0.75,79936,55,325,1
0.5,0.7,0.8,79936,55,325,1
0.5,0.7,0.85,79936,55,325,1
0.5,0.7,0.9,79936,55,325,1
0.5,0.75,0.8,79409,582,325,107
0.5,0.75,0.85,79409,582,325,107
0.5,0.75,0.9,79409,582,325,107
0.55,0.6,0.7,79936,42,325,1
0.55,0.6,0.75,79936,42,325,1
0.55,0.6,0.8,79936,42,325,1
0.55,0.6,0.85,79936,42,325,1
0.55,0.6,0.9,79936,42,325,1
0.55,0.65,0.7,79936,42,325,1
0.55,0.65,0.75,79936,42,325,1
0.55,0.65,0.8,79936,42,325,1
0.55,0.65,0.85,79936,42,325,1
0.55,0.65,0.9,79936,42,325,1
0.55,0.7,0.75,79936,42,325,1
0.55,0.7,0.8,79936,42,325,1
0.55,0.7,0.85,79936,42,325,1
0.55,0.7,0.9,79936,42,325,1
0.55,0.75,0.8,79409,569,325,107
0.55,0.75,0.85,79409,569,325,107
0.55,0.75,0.9,79409,569,325,107
0.6,0.6,0.7,79936,0,326,0
0.6,0.6,0.75,79936,0,326,0
0.6,0.6,0.8,79936,0,326,0
0.6,0.6,0.85,79936,0,326,0
0.6,0.6,0.9,79936,0,326,0
0.6,0.65,0.7,79936,0,326,0
0.6,0.65,0.75,79936,0,326,0
0.6,0.65,0.8,79936,0,326,0
0.6,0.65,0.85,79936,0,326,0
0.6,0.65,0.9,79936,0,326,0
0.6,0.7,0.75,79936,0,326,0
0.6,0.7,0.8,79936,0,326,0
0.6,0.7,0.85,79936,0,326,0
0.6,0.7,0.9,79936,0,326,0
0.6,0.75,0.8,79409,527,326,106
0.6,0.75,0.85,79409,527,326,106
0.6,0.75,0.9,79409,527,326,106
