,0
anomaly_score,5.333664154601836
memory_usage,5.187653289981125
sload,4.278503274187196
dload,4.008019363646342
rate,3.9914713920575298
packet_loss,3.3989879273524966
ct_srv_dst,2.3899499575843075
ct_dst_src_ltm,2.3613640234873086
ct_state_ttl,1.8366831738829075
dmean,0.9566014072241568
cpu_usage,0.8616765771846099
ct_srv_src,0.6714414818945779
ct_dst_ltm,0.5744462527805942
integrity_risk,0.42958105706643207
trust_score,0.3224453465150734
ct_src_ltm,0.2705931264159748
latency,0.13378061362516877
smean,0.12834695976851634
