packet_loss,latency,cpu_usage,memory_usage,anomaly_score,integrity_risk,trust_score,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,binary_label
0.009141512392632941,-0.0066748464437467485,5.261438826668656,8.600935117426717,0.03258094060520233,0.021517714944688602,0.9833110188008659,8,8,1.0,0.0,9,9,1.0,0.0,0
0.0,-0.04596929105445785,5.462177327217852,6.178774441522007,0.032813223470224556,0.0036575124281717306,0.9868747106119102,8,8,1.0,0.0,19,19,1.0,0.0,0
0.022513535874193715,-0.0035408148199457235,5.488068968181652,7.244901893212075,0.013084046231669881,0.0,0.9857609671576546,8,8,1.0,0.0,29,29,1.0,0.0,0
0.028216941491736414,0.03470965851732716,5.393399133345646,7.200515988085329,0.05848769537011413,0.029863867717038597,0.9646876001113887,6,6,1.0,0.0,39,39,1.0,0.0,0
0.0,-0.08863342435505223,5.359726695555995,7.606378247876816,0.008580520305063505,0.052534927243371665,0.9965677918779746,6,6,1.0,0.0,49,49,1.0,0.0,0
0.0,-0.006614737338111241,5.4153474419852,7.657460480156609,0.017829012341722333,0.0,0.992868395063311,6,6,1.0,0.0,59,59,1.0,0.0,0
0.003835212095018561,0.00034874230634751455,5.3422836557246285,7.589807929117065,0.0,0.0,0.9984595798139332,1,2,1.0,0.0,1,69,1.0,0.0,0
0.0,-0.06904623244911805,5.120344461976903,8.315123664963835,0.0,0.0,1.0,5,5,1.0,0.0,11,79,1.0,0.0,0
0.0,-0.03928587424417439,5.379020292284489,5.004400292652061,0.0,0.0,1.0,8,8,1.0,0.0,8,89,1.0,0.0,0
0.0,-0.010246018931979028,5.309826444915823,6.752875919764764,0.0,0.003911379965059379,1.0,8,8,1.0,0.0,8,99,1.0,0.0,0
0.026381939245884854,-0.058003655688784905,5.325684033652746,6.449615662508958,0.03643921523146581,0.05559132459115178,0.9748715382090597,18,18,1.0,0.0,18,109,1.0,0.0,0
0.02333375806286845,-0.005879066054649501,5.213391605219895,7.5896126937167026,0.010190581371833797,0.008078737947897674,0.9865902642261191,1,1,1.0,0.0,28,119,1.0,0.0,0
0.0019809209268364814,-0.0015971382128742782,5.439281104213601,6.627711722854237,0.0,0.0,0.9992076316292654,11,11,1.0,0.0,38,129,1.0,0.0,0
0.033817236209040986,-0.010293026533333766,5.5688736631632825,7.061363252779717,0.016044647057297128,0.04247562656234116,0.9800552466934648,4,4,1.0,0.0,4,139,1.0,0.0,0
0.014025280267561368,-0.030651847831793564,5.46151425443213,5.532856375786134,0.04485609313501498,0.030896299482767273,0.9764474506389694,1,1,1.0,0.0,14,149,1.0,0.0,0
0.0,0.022612268764556773,5.5638987804953715,7.533523417014823,0.01328782476858352,0.022242537659771557,0.9942740894375428,11,11,1.0,0.0,24,159,1.0,0.0,0
0.011062523522474966,-0.0476518030819671,5.527126191918029,5.586631878171653,0.0,0.06749078908509082,0.9955749905910101,2,2,1.0,0.0,34,169,1.0,0.0,0
0.0,-0.022084363190397915,5.528094765730812,6.645758812827539,0.0003938561760026335,0.02387885569367936,0.999842457529599,12,12,1.0,0.0,44,179,1.0,0.0,0
0.026353509039218175,-0.01617685537903261,5.494365905678386,5.5408140540199575,0.0,0.009538171616080199,0.9894585963843128,2,8,1.0,0.0,54,189,1.0,0.0,0
0.0,0.007553701775646115,5.431677700951124,6.231680992149584,0.0,0.004789528050466516,0.9998627773888785,7,7,1.0,0.0,64,199,1.0,0.0,0
0.0,-0.05025569848501876,5.560122453829588,7.110559346949237,0.0019488943403263767,0.02563362144047637,0.9992204422638694,17,17,1.0,0.0,74,209,1.0,0.0,0
0.0,-0.03481591556124911,5.482997390833443,5.556844298685197,0.017139305953188164,0.0,0.9931442776187247,5,5,1.0,0.0,84,219,1.0,0.0,0
0.036676240160220905,-0.08284288412543317,5.508947724844285,5.574186066545781,0.06489762848619503,0.02984782582177561,0.9593704525414336,12,12,1.0,0.0,94,229,1.0,0.0,0
0.0,-0.03603666324969613,5.47100621530505,6.87219684736012,0.0,0.0,1.0,3,3,1.0,0.0,3,239,1.0,0.0,0
0.0,-0.022877952067996154,5.489334997694031,7.606191120013169,0.025938143339404293,0.020365193832014582,0.9896247426642383,13,13,1.0,0.0,13,249,1.0,0.0,0
